Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Internet Movie Database,Language,Metacritic,Metascore,Plot,Poster,Production,Rated,Released,Response,Rotten Tomatoes,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,movie_id,totalSeasons
"Anjelica Huston, Lola Bessis, Damien Bonnard, Esther Garrel",2 wins & 2 nominations.,N/A,"France, USA",N/A,Nathan Silver,"Comedy, Drama, Romance",5.8/10,"French, English",71/100,71,"Gina, an American flight attendant, falls in with a Parisian bartender on a layover only to find herself tangled in a web of deception, delusion and unrequited amour fou.",https://m.media-amazon.com/images/M/MV5BODIxMzZlNTUtODAyNC00ZmNjLTkwMDgtYzdlOTAwMDE3YzBkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Samuel Goldwyn Films,UNRATED,25-Jul-18,TRUE,75%,83 min,Thirst Street,movie,http://www.samuelgoldwynfilms.com/thirst-street/,"Nathan Silver, C. Mason Wells",2017,tt5802404,5.8,278,5274,
"Dania Ramirez, Jake Lockett, Rebekah Graf, Parker Croft",N/A,N/A,USA,N/A,Bev Land,"Horror, Thriller",3.7/10,English,,N/A,"When six college kids in a sleepy Southern town are assigned a group project to rediscover a moment in history, one of them sets in motion a horrific fate when he proposes they head into ...",https://m.media-amazon.com/images/M/MV5BM2NmZWFlMDUtYzJkNy00MjEzLTlmMDktMGQ3ZjMxNzk2YTBhXkEyXkFqcGdeQXVyNTYxMjk4MA@@._V1_SX300.jpg,Parade Deck Films,N/A,4-Aug-17,TRUE,,87 min,Lycan,movie,N/A,"Bev Land, Michael Mordler",2017,tt4031126,3.7,434,5275,
"Nicholas Turturro, Vincent Pastore, Megan West, Ana Isabelle",1 win.,N/A,USA,N/A,Robbie Bryan,"Crime, Drama, Mystery",4.7/10,English,,N/A,"6 strangers are kidnapped and through governmental technology have proof they have all killed before and are told 5 will die this night, one may walk, and the six have 2 hours to decide who gets to live.",https://images-na.ssl-images-amazon.com/images/M/MV5BYmUzZGI1YzktZjY4OC00NzAzLTk0ZDMtOWUxZDY2ZjY4NmFlXkEyXkFqcGdeQXVyMTYwMzA3OQ@@._V1_SX300.jpg,N/A,N/A,7-Apr-17,TRUE,,95 min,The Eyes,movie,N/A,Robert T. Roe,2017,tt4902260,4.7,318,5276,
"Laurie Anderson, Hector Babenco, Jean Michel Basquiat, Bono",N/A,"$8,679","USA, Italy",7-Nov-17,Pappi Corsicato,Documentary,7.1/10,English,42/100,42,A look at the personal life and public career of New York artist Julian Schnabel.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyMzU3Njc3MF5BMl5BanBnXkFtZTgwMzg3MzcxMjI@._V1_SX300.jpg,Buena Onda Srl,N/A,5-May-17,TRUE,50%,84 min,Julian Schnabel: A Private Portrait,movie,N/A,Pappi Corsicato,2017,tt6794464,7.1,12,5277,
"Alda Gomes, Ana Vilela da Costa, Marco Costa, Hugo Franco",N/A,,Portugal,,N/A,Thriller,N/A,Portuguese,N/A,N/A,"Joana, a blogger, is accused of murdering her boyfriend. But she suffers from amnesia.",https://images-na.ssl-images-amazon.com/images/M/MV5BN2YwMmYwODMtY2QwNS00NzVhLTk4NDctOTQ4ZTFhMDZlZTU1XkEyXkFqcGdeQXVyODI3NzU4NTE@._V1_SX300.jpg,,N/A,30-Oct-17,TRUE,N/A,N/A,AmnÃ©sia,series,,N/A,2017â€“,tt7541116,N/A,N/A,5278,N/A
"Gari McIntyre, Amanda Leonard, Blessin Giraldo, Chevonne Hall",8 wins & 20 nominations.,"&pound;1,137,759",USA,N/A,Amanda Lipitz,Documentary,6.8/10,English,81/100,81,STEP documents the senior year of a girls' high-school step dance team against the background of inner-city Baltimore.,https://m.media-amazon.com/images/M/MV5BMjAxNjY0MTk2MV5BMl5BanBnXkFtZTgwNTU2NDEwMjI@._V1_SX300.jpg,N/A,PG,4-Aug-17,TRUE,96%,84 min,Step,movie,N/A,N/A,2017,tt5758404,6.8,640,5279,
"Rowan Atkinson, Leo Staar, Shaun Dingwall, Alexander Campbell",N/A,N/A,"UK, Hungary",N/A,Ashley Pearce,"Crime, Drama, Mystery",7.1/10,English,,N/A,Chief Inspector Jules Maigret hunts for a serial killer.,https://m.media-amazon.com/images/M/MV5BOGI0OTRiMDEtMjZmYy00ODcyLWI0ZTctOGM4YTlhMzA3YmNkL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,N/A,N/A,28-Mar-16,TRUE,,87 min,Maigret Sets a Trap,movie,N/A,"Stewart Harcourt (screenplay), Georges Simenon (novel)",2016,tt5012394,7.1,"6,481",5280,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Year not match!,N/A,N/A,The Country Doctor,N/A,N/A,N/A,2017,N/A,N/A,N/A,5281,
"NoÃ© HernÃ¡ndez, MarÃ_a Evoli, Diego Gamaliel, Gabino RodrÃ_guez",4 wins & 6 nominations.,N/A,"Mexico, France",N/A,Emiliano Rocha Minter,"Drama, Fantasy, Horror",4.7/10,Spanish,62/100,62,"After wandering a ruined city for years in search of food and shelter, two siblings find their way into one of the last remaining buildings. Inside, they find a man who will make them a dangerous offer to survive the outside world.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzOTk0NzA2M15BMl5BanBnXkFtZTgwODg5NTg4MDI@._V1_SX300.jpg,N/A,NOT RATED,20-Jan-17,TRUE,,79 min,We Are the Flesh,movie,N/A,Emiliano Rocha Minter,2016,tt4682708,4.7,"1,367",5282,
"Gilbert Gottfried, Dave Attell, Joy Behar, Richard Belzer",1 win.,N/A,USA,N/A,Neil Berkeley,"Documentary, Biography, Comedy",7.6/10,English,73/100,73,"GILBERT is a wildly funny and unexpectedly poignant portrait of the life and career of one of comedy's most iconic figures, Gilbert Gottfried.",https://m.media-amazon.com/images/M/MV5BOGU5NjFlMmUtMjBkNy00YWUyLWJkZjktMDI1YjVlNWE2OGMyXkEyXkFqcGdeQXVyMjM0MzI4NjQ@._V1_SX300.jpg,Future You Pictures,TV-MA,1-Apr-17,TRUE,95%,94 min,Gilbert,movie,http://www.gilbertmovie.com,"Neil Berkeley, James Leche",2017,tt6495526,7.6,398,5283,
"Roman Arnaize, Matheus Dias, Giulia Giovanetti, Ilona Hovani",N/A,N/A,USA,N/A,Kush Badhwar,"Short, Comedy",N/A,English,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNWExNDllMmEtZWY2OC00OWZlLWIxZmItODc0NGVjMDk3NmNlXkEyXkFqcGdeQXVyNTI2NjU0MjE@._V1_SX300.jpg,N/A,N/A,31-Aug-17,TRUE,N/A,N/A,Natasha,movie,N/A,Valeriya Matveeva,2017,tt6731220,N/A,N/A,5284,
"Kenny Anderson, Natasha Anderson, Nate Archibald, Tiki Barber",N/A,"$8,239",USA,N/A,Jill Campbell,Documentary,7.6/10,English,,N/A,"""Mr. Chibbs"" is an observational feature length documentary that follows NBA All-Star Kenny Anderson, in the midst of a mid life crisis, dealing with drinking issues, attempting to get a ...",https://images-na.ssl-images-amazon.com/images/M/MV5BOTdmMmI1Y2YtOWY3MS00N2VjLWI0NmYtNDk3Nzk3NjBmODg0XkEyXkFqcGdeQXVyMjQwMjEyMjE@._V1_SX300.jpg,Abramorama,N/A,3-May-17,TRUE,43%,86 min,Mr. Chibbs,movie,http://mrchibbs.com/,Jill Campbell,2017,tt4633340,7.6,47,5285,
"Nichole Alred, Jas Boothe, Rachel Engler, Hope Garcia",1 win & 3 nominations.,"$8,237",USA,N/A,Lysa Heslov,Documentary,7.8/10,English,85/100,85,"Director Lysa Heslov's documentary, ""Served Like a Girl, provides a candid look at several American women as they transition from active duty to civilian life after serving tours of duty in...",https://ia.media-imdb.com/images/M/MV5BZDJkYzU5ZTQtZTZkOC00YzhhLWIyMGYtNDhlMGRjYTY1MDc4XkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,Entertainment Studios Motion Pictures,N/A,25-Aug-17,TRUE,100%,103 min,Served Like a Girl,movie,http://servedlikeagirl.com,"Tchavdar Georgiev, Lysa Heslov",2017,tt6175710,7.8,53,5286,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Year not match!,N/A,N/A,Anatahan ,N/A,N/A,N/A,2017,N/A,N/A,N/A,5287,
"Chayanit Chansangavej, Peerapol Kijreunpiromsuk",N/A,N/A,Thailand,N/A,Prabda Yoon,Thriller,7.7/10,Thai,,N/A,An injured man turns up in a woman's apartment and claims he's its real owner.,https://m.media-amazon.com/images/M/MV5BMTg3ZWZiODEtMWVmMS00Y2I3LWE0ZTQtMGI3MWFlZTQ1M2IwXkEyXkFqcGdeQXVyNzgyMjM2OTU@._V1_SX300.jpg,N/A,N/A,29-Oct-17,TRUE,,87 min,Someone from Nowhere,movie,N/A,Prabda Yoon,2017,tt7607224,7.7,9,5288,
"Dennis Banks, Grant Waters",N/A,N/A,USA,N/A,Zach Mami,Documentary,N/A,English,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,Swept Away,movie,N/A,Grant Waters,2016,tt4675866,N/A,N/A,5289,
"Bill Pullman, Peter Fonda, Stephen Alan Seder, Kathy Baker",1 nomination.,N/A,USA,13-Feb-18,Jared Moshe,"Action, Drama, Western",6.2/10,English,64/100,64,"A thrilling and action-packed Western, The Ballad of Lefty Brown is a story about loyalty, friendship, and the relentless pursuit of justice.",https://m.media-amazon.com/images/M/MV5BMTk0Nzg0NzU0Ml5BMl5BanBnXkFtZTgwOTkwMjY5MzI@._V1_SX300.jpg,A24 and DIRECTV,R,15-Dec-17,TRUE,78%,111 min,The Ballad of Lefty Brown,movie,N/A,"Jared Moshe, Jared Moshe",2017,tt4400994,6.2,"3,034",5290,
"Scott Eastwood, Freddie Thorp, Ana de Armas, Gaia Weiss",N/A,N/A,"France, Belgium, USA",7-Nov-17,Antonio Negret,"Action, Thriller",5.4/10,"English, French",,N/A,"Two car thief brothers, who journey to the south of France for new opportunities, wind up in the cross hairs of the local crime boss.",https://m.media-amazon.com/images/M/MV5BMDExMTAzYmEtZjMwOC00MjIxLTkyNjMtOTZjOWIwMTI0YTc0XkEyXkFqcGdeQXVyMjU3NTI0Mg@@._V1_SX300.jpg,Paramount Pictures,PG-13,6-Oct-17,TRUE,23%,93 min,Overdrive,movie,N/A,"Michael Brandt (screenplay by), Derek Haas (screenplay by)",2017,tt1935194,5.4,"8,990",5291,
N/A,N/A,N/A,USA,N/A,Maura Axelrod,Documentary,8.0/10,English,,N/A,"An art world upstart, provocative and elusive artist Maurizio Cattelan made his career on playful and subversive works that send up the artistic establishment, until a retrospective at the ...",https://images-na.ssl-images-amazon.com/images/M/MV5BYTVkNDI5ZGMtOGI0Ny00NWQwLWFjMDgtOTkwMDE1ZWFiNGZhXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg,BOND360,N/A,1-Apr-16,TRUE,83%,95 min,Maurizio Cattelan: Be Right Back,movie,http://www.mauriziocattelanfilm.com/,N/A,2016,tt5509780,8,15,5292,
N/A,N/A,N/A,"Thailand, USA",N/A,"Dave Adams, Josie Swantek",Documentary,8.1/10,Thai,54/100,54,"In the feature documentary The Wrong Light, a charismatic activist leads a globally-regarded NGO that provides shelter and education for girls rescued from brothels in Northern Thailand. ...",https://ia.media-imdb.com/images/M/MV5BYjgxMTcxMjctMjgyYS00NzMwLTk2MzYtYWU0NDU3ZGMyM2Q3XkEyXkFqcGdeQXVyMjY1NzYxMjc@._V1_SX300.jpg,N/A,N/A,14-Jul-17,TRUE,,78 min,The Wrong Light,movie,N/A,N/A,2016,tt5135206,8.1,22,5293,
N/A,N/A,"$7,257",USA,N/A,Civia Tamarkin,Documentary,6.9/10,English,70/100,70,"Women are being jailed, physically violated and at risk of dying as a radical movement tightens its grip across America.",https://m.media-amazon.com/images/M/MV5BMjBjYWZjZTEtMGIwOC00ZWQ5LTk0NTgtYmI2ZTk0MTg1NTk2XkEyXkFqcGdeQXVyNjk1NzUxMDQ@._V1_SX300.jpg,Abramorama,TV-MA,14-Jul-17,TRUE,100%,100 min,Birthright: A War Story,movie,http://birthrightfilm.com/,"Luchina Fisher, Civia Tamarkin",2017,tt6091028,6.9,14,5294,
"Frank Serpico, Stanislao Pugliese, Janet Panetta, John O'Connor",N/A,N/A,USA,N/A,Antonino D'Ambrosio,Documentary,6.7/10,English,68/100,68,"In his own words, Frank Serpico tells the story of his one-man crusade for police reform in the NYPD during the early 1970s.",https://ia.media-imdb.com/images/M/MV5BMjQzMTg1ODA0MV5BMl5BanBnXkFtZTgwOTkwODcwNDI@._V1_SX300.jpg,N/A,N/A,1-Nov-17,TRUE,,98 min,Frank Serpico,movie,N/A,"Antonino D'Ambrosio, Antonino D'Ambrosio",2017,tt6794376,6.7,112,5295,
Bjarke Ingels,N/A,N/A,Denmark,N/A,Kaspar Astrup SchrÃ¶der,Documentary,6.3/10,"English, Danish",57/100,57,"BIG TIME follows Bjarke Ingels during the course of 7 years (2009-2016), while he struggles to finish his biggest project so far. We are let into Bjarke's creative processes as well as the endless compromises that his work entails.",https://ia.media-imdb.com/images/M/MV5BMmUwZWMxOTgtNmY1Ny00ZTRiLWIzY2UtMWVjYWEyYjE4ZDNjXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg,Mongrel Media,N/A,3-May-17,TRUE,85%,93 min,Big Time,movie,N/A,N/A,2017,tt7630164,6.3,92,5296,
"Leo Fafard, Yannick Bisson, Amy Matysio, Jonathan Cherry",N/A,N/A,Canada,3-Jul-18,Lowell Dean,"Comedy, Horror",4.5/10,English,,N/A,Alcoholic werewolf cop Lou Garou springs into action when an eccentric businessman with evil intentions seduces Woodhaven's residents with a new brewery and hockey team in this outrageous horror-comedy sequel.,https://m.media-amazon.com/images/M/MV5BZTdiOWMwYjMtOGMyZS00YTlhLWJjZDgtZTllYWY5MzBiZDg1XkEyXkFqcGdeQXVyMzExNTc4MDY@._V1_SX300.jpg,A71 Entertainment,N/A,25-Sep-16,TRUE,67%,82 min,Another WolfCop,movie,http://wolfcop.com,Lowell Dean,2017,tt4515762,4.5,591,5297,
"James Morrison, Bobby Campo, Maiara Walsh, Dee Wallace",N/A,N/A,USA,14-Mar-17,Jesse Rosen,N/A,7.2/10,English,,N/A,A father and son head to New Orleans to overcome their women trouble.,http://ia.media-imdb.com/images/M/MV5BMjM5MjY5ODE3MF5BMl5BanBnXkFtZTgwNTEzMjg4MTE@._V1_SX300.jpg,Volition Films,N/A,1-Jun-14,TRUE,,N/A,The Jazz Funeral,movie,http://volitionfilms.com/?p=203,Jesse Rosen,2014,tt2064891,7.2,11,5298,
"Lauren Mae Shafer, Zachary Beck, David G.B. Brown, Veronica Cartwright",N/A,N/A,USA,N/A,Douglas Schulze,Thriller,4.6/10,English,,N/A,A woman struggles for survival beneath a frozen lake while a serial killer stalks her from the surface.,https://images-na.ssl-images-amazon.com/images/M/MV5BODc2NTAwMjMwM15BMl5BanBnXkFtZTgwMjA1MTc2NjE@._V1_SX300.jpg,N/A,UNRATED,10-Mar-17,TRUE,,75 min,The Dark Below,movie,N/A,"Douglas Schulze (story by), Jonathan D'Ambrosio, Douglas Schulze (screenplay)",2015,tt3591696,4.6,97,5299,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Year not match!,N/A,N/A,A Kind of Loving ,N/A,N/A,N/A,2017,N/A,N/A,N/A,5300,
"Pauline Etienne, Olivier Chantreau, FranÃ§ois Morel, LoÃ¯c Corbery",1 nomination.,N/A,France,N/A,"Paul Calori, Kostia Testut","Comedy, Musical",6.0/10,French,60/100,60,"Inspired by the films of Jacques Demy and Stanley Donen, this musical comedy follows a young woman who must dance between a budding romance, a scheming boss, and co-workers on strike at her new job in a luxury shoe factory.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjM5NDk2MzgwOF5BMl5BanBnXkFtZTgwNTkwOTc3MjI@._V1_SX300.jpg,N/A,N/A,14-Jul-17,TRUE,,85 min,Footnotes,movie,N/A,"Paul Calori (screenplay), Kostia Testut (screenplay)",2016,tt4875774,6,54,5301,
"Makis Papadimitriou, Elli Tringou, Dimi Hart, Hara Kotsali",5 wins & 2 nominations.,N/A,"Greece, Germany",N/A,Argyris Papadimitropoulos,"Comedy, Drama, Romance",6.6/10,"Greek, English",59/100,59,"On a hedonistic Greek island, a middle-aged doctor becomes obsessed with a young tourist when she lets him tag along with her group of hard partying friends.",https://ia.media-imdb.com/images/M/MV5BOWRiNWU4MjMtNjg2NC00ZGNkLWI5YjgtZjNkYjM1N2UyNjllXkEyXkFqcGdeQXVyMTg2NTc4MzA@._V1_SX300.jpg,Marni Films,UNRATED,31-Mar-16,TRUE,75%,104 min,Suntan,movie,N/A,"Argyris Papadimitropoulos, Syllas Tzoumerkas",2016,tt3954660,6.6,"3,844",5302,
"Reza Sixo Safai, Helena Mattsson, Parviz Sayyad, Julian Sands",1 nomination.,N/A,USA,N/A,Daniel Grove,"Action, Crime, Mystery",5.2/10,"English, Persian, Russian",49/100,49,"After being wrongly accused of stealing from his former boss, an Iranian gangster with girl problems must hunt down stolen drugs in this neon-noir fever dream set in the bizarre Persian and Russian Los Angeles underworld where obscene reigns supreme.",https://m.media-amazon.com/images/M/MV5BMjA1MDI1MTA1OV5BMl5BanBnXkFtZTgwNTk2NDExMjI@._V1_SX300.jpg,Samuel Goldwyn Films,N/A,15-Apr-16,TRUE,63%,103 min,The Persian Connection,movie,http://www.samuelgoldwynfilms.com/the-persian-connection/,"Daniel Grove (story), Daniel Grove, Reza Sixo Safai (story)",2016,tt4831810,5.2,223,5303,
"Anna Schafer, Ryan Vincent, Adewale Akinnuoye-Agbaje, Kathleen Quinlan",2 wins & 2 nominations.,N/A,USA,N/A,Vincent Sabella,Drama,6.0/10,English,48/100,48,"A young woman, recently released from a mental hospital, is coping with ongoing episodes of schizophrenia.",https://images-na.ssl-images-amazon.com/images/M/MV5BZmJmOWJiNDMtNWIyYS00NTkzLThlYzAtODdlN2RjYTUwYzhhXkEyXkFqcGdeQXVyMzgxNzk4NA@@._V1_SX300.jpg,Global Digital Releasing,PG-13,16-Feb-17,TRUE,55%,95 min,Elizabeth Blue,movie,N/A,"Vincent Sabella, Alfred D. Huffington",2017,tt5881892,6,32,5304,
"Niki Behr, Jason Corder, Mkamzee Chao Mwatela, Patrick Oketch",3 nominations.,N/A,Kenya,N/A,Njue Kevin,"Short, Drama",N/A,English,N/A,N/A,"On board a commercial airplane, (Ruwe) an African intellect, sits next to a white man (Walter). In their conversation, which is utterly brutal, honest and to some racist, Walter blames the ...",https://images-na.ssl-images-amazon.com/images/M/MV5BNDAzZTBlNjktN2U0Zi00MWY0LWE5MDUtMjY4NjA1NDI3MTdmXkEyXkFqcGdeQXVyMjU4Njg5NTk@._V1_SX300.jpg,N/A,N/A,1-Oct-15,TRUE,N/A,15 min,Intellectual Scum,movie,N/A,"Njue Kevin, Field Ruwe",2015,tt4418944,N/A,N/A,5305,
"Robert Patrick, Heather Graham, Bruce Davison, Alex MacNicoll",N/A,N/A,USA,22-Sep-17,Dwight H. Little,"Crime, Drama, Mystery",5.7/10,English,50/100,50,"The true story of the infamous prison break, of Gary Tison and Randy Greenwalt, from the Arizona State prison in Florence, AZ, in the summer of 1978.",https://m.media-amazon.com/images/M/MV5BMmU2ZGNkNDctYTJkYS00YzQ0LTk3MzUtZDI1MjZkYTFhNmFmXkEyXkFqcGdeQXVyMTcwMjE4MTQ@._V1_SX300.jpg,Epic Pictures Releasing,R,22-Sep-17,TRUE,60%,93 min,Last Rampage: The Escape of Gary Tison,movie,N/A,"James W. Clarke (based on the book by), ÃÅlvaro RodrÃ_guez (screenplay by), Jason Rosenblatt (screenplay by)",2017,tt5833186,5.7,951,5306,
"Oscar MartÃ_nez, Rodrigo De la Serna, Alejandra Flechner, Carla Peterson",N/A,N/A,Argentina,N/A,Marcos Carnevale,"Comedy, Drama",6.1/10,Spanish,,N/A,"Felipe a wealthy businessman who has been quadriplegic, due to an accident, is looking for a therapeutic assistant. There are several highly qualified, but he decides to take the assistant of his gardener, Tito who has decided to resign.",https://images-na.ssl-images-amazon.com/images/M/MV5BZTg3YWNlYTItZTE3MS00ZDk1LWIxNjItNzZmZWJlZDljY2RjXkEyXkFqcGdeQXVyMzU1ODUxOTk@._V1_SX300.jpg,N/A,N/A,11-Aug-16,TRUE,,108 min,Inseparables,movie,N/A,"Marcos Carnevale (screenplay), Olivier Nakache (based on a film by), Eric Toledano (based on a film by)",2016,tt5680678,6.1,340,5307,
"Ishmael Muslim Ali, Isabella Carr, Bradley Gordon, Martin Huss",2 nominations.,"$6,253",Canada,N/A,Jamie Kastner,Documentary,6.0/10,English,54/100,54,"After five citizens of the Virgin Islands are convicted in the 1970s of a massacre at one of the island's fancy country clubs, their ostensible leader stages a skyjacking and escapes to Cuba.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMzkxODg0OV5BMl5BanBnXkFtZTgwNzAwNDg5OTE@._V1_SX300.jpg,N/A,N/A,30-Jun-17,TRUE,60%,75 min,The Skyjacker's Tale,movie,N/A,Jamie Kastner,2016,tt5938234,6,44,5308,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Movie not found!,N/A,N/A,In the Steps of Trisha Brown,N/A,N/A,N/A,2017,N/A,N/A,N/A,5309,
"Zachary Laoutides, Emmanuel Isaac, Samuel Younan, MÃ_nica Esmeralda LeÃ_n",4 nominations.,N/A,USA,24-Jan-17,"La Raza, Zachary Laoutides(co-director), MÃ_nica Esmeralda LeÃ_n(co-director)",Thriller,7.6/10,"Hebrew, Spanish, English",,N/A,"Based on the early events of psychic Lazaro Ruben Torres, clinically declared dead five times. In the process of trying to reconnect with his daughter, Lazaro discovers the man who killed her.",https://ia.media-imdb.com/images/M/MV5BOTI5YTJlMGItYjhmYy00OWUwLTgwY2MtMzg5Nzc4NmIzN2Q4XkEyXkFqcGdeQXVyMTQ2OTU2OTQ@._V1_SX300.jpg,Ave Fenix Pictures,NOT RATED,25-Aug-16,TRUE,,90 min,Arise from Darkness,movie,http://www.avefenixpictures.com/,Zachary Laoutides (original story),2016,tt3564122,7.6,582,5310,
"Josh Adell, Todd Robert Anderson, Matthew Ashford, Dan Davies",N/A,N/A,USA,N/A,Steve Hicks,Crime,N/A,English,N/A,N/A,"Murphy Dunn, a down and out private detective, is trying to get his life together after his last case. His luck changes when he's hired by his ex to find her missing son and stolen ...",https://images-na.ssl-images-amazon.com/images/M/MV5BYWJkN2MyZGUtM2UzNS00YjhkLTgxMWYtYTEzNTQxMjgxMjFmXkEyXkFqcGdeQXVyMTQ2OTU2OTQ@._V1_SX300.jpg,Indican Pictures,NOT RATED,2-May-17,TRUE,N/A,87 min,The Fuzz,movie,http://www.indicanpictures.com/indicanpictures/fuzz-the/,Steve Hicks,2017,tt6977434,N/A,N/A,5311,
"Joseph Fiennes, Bruce Locke, Shawn Dou, Richard Sanderson",N/A,N/A,"China, Hong Kong, USA",5-Dec-17,"Stephen Shin, Michael Parker(co-director)","Drama, History, Sport",5.8/10,"English, Mandarin, Japanese",,N/A,Eric Liddell - China's first gold medalist and one of Scotland's greatest athletes - returns to war-torn China.,https://m.media-amazon.com/images/M/MV5BYjAzZTljYTQtOGM3Yy00NWIxLTllODItYzY1MDM3NzFhZTQzXkEyXkFqcGdeQXVyMTg5MzcwNw@@._V1_SX300.jpg,Archstone Distribution,PG-13,3-Nov-17,TRUE,,108 min,On Wings of Eagles,movie,https://onwingsofeagles.film/,"Rubby Xu, Christopher C. Chan, Michael Parker, Stephen Shin",2016,tt4714896,5.8,386,5312,
"Ã“scar BarberÃ¡n, Michelle Jenner, Adriana Ugarte, Luis Posada",3 wins & 1 nomination.,N/A,Spain,N/A,"David Alonso, Enrique Gato","Animation, Adventure, Comedy",6.2/10,"English, Spanish",,N/A,"Tad Jones, the most awkward explorer, must rescue his beloved Sara from a millionaire who is looking for King Midas' necklace.",https://m.media-amazon.com/images/M/MV5BMzNjOTkzMTAtZDJmMi00Zjk3LWFjZDEtYzhlYjhkZGI5MjdiXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_SX300.jpg,N/A,PG,25-Aug-17,TRUE,,85 min,Tad the Lost Explorer and the Secret of King Midas,movie,N/A,"Jordi Gasull, Neil Landau, Javier LÃ_pez Barreira, Paco SÃ¡ez (development and creative senior)",2017,tt3896102,6.2,"1,645",5313,
"Brian, Dark Cloud, Kiki, Vegas",4 wins & 10 nominations.,N/A,USA,N/A,"Jairus McLeary, Gethin Aldous(co-director)",Documentary,8.0/10,English,84/100,84,"Set inside a single room in Folsom Prison, three men from the outside participate in a four-day group-therapy retreat with a group of incarcerated men for a real look at the challenges of rehabilitation.",https://m.media-amazon.com/images/M/MV5BMjI2ZmQxZGEtMzQyNi00NGYyLTk4ODctN2M3Y2FkZTU2MTEyXkEyXkFqcGdeQXVyNzk1Mzg3NTY@._V1_SX300.jpg,Blanketfort Media,NOT RATED,8-Sep-17,TRUE,100%,89 min,The Work,movie,https://theworkmovie.com/,N/A,2017,tt5836866,8,966,5314,
"James Franco, Scott Haze, Taryn Manning, Francesca Eastwood",N/A,"&pound;4,308",USA,1-Sep-17,Dan Bush,"Horror, Thriller",4.8/10,English,50/100,50,Two estranged sisters are forced to rob a bank in order to save their brother. But this is no ordinary bank.,https://m.media-amazon.com/images/M/MV5BODE1ODg2NDY1MF5BMl5BanBnXkFtZTgwNjYxMTIwMzI@._V1_SX300.jpg,FilmRise,NOT RATED,1-Sep-17,TRUE,25%,91 min,The Vault,movie,N/A,"Dan Bush, Conal Byrne",2017,tt1785635,4.8,"9,070",5315,
"Michael Fassbender, Brendan Gleeson, Lyndsey Marshal, Georgie Smith",5 nominations.,N/A,UK,7-Mar-17,Adam Smith,"Action, Crime, Drama",5.8/10,English,50/100,50,A man looks to find a way to escape the criminal ways of his outlaw family.,https://m.media-amazon.com/images/M/MV5BMTQ5Njk4OTgzNV5BMl5BanBnXkFtZTgwMDc0OTAxMDI@._V1_SX300.jpg,A24 and DIRECTV,R,24-Nov-16,TRUE,57%,99 min,Trespass Against Us,movie,http://a24films.com/films/trespass-against-us/,Alastair Siddons,2016,tt3305308,5.8,"6,008",5316,
"Kevin Janssens, Jeroen Perceval, Veerle Baetens, Jan Bijvoet",8 wins & 7 nominations.,N/A,Belgium,N/A,Robin Pront,Drama,6.8/10,"Flemish, French, Dutch",47/100,47,"A brutal home-jacking by two brothers goes hopelessly wrong, and one of them goes to prison. Four years later, his brother tries to help him get his life back on track.",https://m.media-amazon.com/images/M/MV5BNTA4ODQwOTItODAwOS00YmQ1LTg4OGMtZjRlN2YyNTM1YzU4XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg,N/A,UNRATED,6-Jan-17,TRUE,,96 min,The Ardennes,movie,N/A,"Jeroen Perceval (scenario), Robin Pront (scenario), Jeroen Perceval (play)",2015,tt2586118,6.8,"3,904",5317,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Year not match!,N/A,N/A,La Chinoise ,N/A,N/A,N/A,2017,N/A,N/A,N/A,5318,
